SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,BuildingNumber,School,GradeTested,ELATotalTestedNotTested,ELATotalTested,ELAMetStandardIncludingPrevPass,ELAPercentMetStandardIncludingPrevPass,ELAMetStandardWithoutPrevPass,ELAPercentMetStandardWithoutPrevPass,ELAPercentMetStandardExcludingNoScore,ELALevel1,ELAPercentLevel1,ELALevel2,ELAPercentLevel2,ELALevelBasic,ELAPercentLevelBasic,ELALevel3,ELAPercentLevel3,ELALevel4,ELAPercentLevel4,ELANoScore,ELAPercentNoScore,ELANotMet,ELAPercentNotMet,ELAExcusedAbsence,ELAExempted,ELAWAASPORT,ELAWAASDAPE,MathTotalTestedNotTested,MathTotalTested,MathMetStandardIncludingPrevPass,MathPercentMetStandardIncludingPrevPass,MathMetStandardWithoutPrevPass,MathPercentMetStandardWithoutPrevPass,MathPercentMetStandardExcludingNoScore,MathLevel1,MathPercentLevel1,MathLevel2,MathPercentLevel2,MathLevelBasic,MathPercentLevelBasic,MathLevel3,MathPercentLevel3,MathLevel4,MathPercentLevel4,MathNoScore,MathPercentNoScore,MathNotMet,MathPercentNotMet,MathExcusedAbsence,MathExempted,MathWAASPORT,MathWAASDAPE,ELALevelIndex,MathLevelIndex
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,5291,Maple Grove K-8,3,48,48,22,45.79,22,45.79,45.8,9,18.69,17,35.39,2,4.09,11,22.89,9,18.69,0,0,26,54.1,,2,1,,48,48,18,37.5,18,37.5,37.5,11,22.89,19,39.5,1,2,14,29.1,3,6.2,0,0,30,62.5,,2,1,,2.33,2.14
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,5291,Maple Grove K-8,4,58,58,25,43.1,25,43.1,43.1,14,24.1,19,32.7,0,0,16,27.5,9,15.5,0,0,33,56.79,,3,,,58,58,25,43.1,25,43.1,43.1,6,10.3,27,46.5,0,0,16,27.5,9,15.5,0,0,33,56.79,,3,,,2.34,2.48
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,5291,Maple Grove K-8,5,38,37,18,47.29,18,47.29,48.6,8,21,11,28.89,0,0,17,44.7,1,2.6,1,2.6,20,52.6,,3,2,,38,37,8,21,8,21,21.6,11,28.89,18,47.29,0,0,6,15.69,2,5.2,1,2.6,30,78.9,,3,2,,2.23,1.91
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,5291,Maple Grove K-8,6,61,61,42,68.79,42,68.79,68.9,4,6.5,15,24.5,0,0,31,50.79,11,18,0,0,19,31.1,,3,4,,61,61,19,31.1,19,31.1,31.1,16,26.19,26,42.6,0,0,16,26.19,3,4.9,0,0,42,68.79,,3,4,,2.8,2.1
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,5291,Maple Grove K-8,7,43,43,22,51.1,22,51.1,51.2,6,13.9,15,34.79,0,0,18,41.79,4,9.3,0,0,21,48.79,,1,1,,43,43,13,30.19,13,30.19,30.2,15,34.79,15,34.79,0,0,11,25.5,2,4.59,0,0,30,69.7,,1,1,,2.46,1.99
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,5291,Maple Grove K-8,8,71,70,42,59.1,42,59.1,60,8,11.19,20,28.1,0,0,30,42.2,12,16.89,1,1.39,29,40.79,,3,3,,71,70,27,38,27,38,38.6,20,28.1,23,32.29,0,0,19,26.69,8,11.19,1,1.39,44,61.89,,3,3,,2.62,2.18
2014-15,Puget Sound Educational Service District 121,17,King,17001,Seattle Public Schools,5292,APP at Lincoln,3,134,124,124,92.5,124,92.5,100,0,0,0,0,0,0,13,9.69,111,82.79,10,7.4,10,7.4,,3,,,134,125,125,93.2,125,93.2,100,0,0,0,0,0,0,13,9.69,112,83.5,9,6.7,9,6.7,,3,,,3.6,3.63
2014-15,Puget Sound Educational Service District 121,17,King,17001,Seattle Public Schools,5292,APP at Lincoln,4,168,161,159,94.59,159,94.59,98.8,0,0,2,1.1,0,0,18,10.69,141,83.9,7,4.09,9,5.29,,1,,,168,162,159,94.59,159,94.59,98.1,0,0,3,1.7,0,0,26,15.4,133,79.09,6,3.5,9,5.29,,1,,,3.7,3.66
2014-15,Puget Sound Educational Service District 121,17,King,17001,Seattle Public Schools,5292,APP at Lincoln,5,175,155,153,87.4,153,87.4,98.7,0,0,2,1.1,0,0,26,14.8,127,72.5,20,11.4,22,12.5,,5,,,175,157,154,88,154,88,98.1,0,0,3,1.7,0,0,11,6.2,143,81.7,18,10.19,21,12,,5,,,3.37,3.49
2014-15,Educational Service District 101,01,Adams,01158,Lind School District,5293,Lind-Ritzville Middle School,6,13,13,8,61.5,8,61.5,61.5,2,15.3,3,23,0,0,7,53.79,1,7.59,0,0,5,38.39,,,,,13,13,0,0,0,0,0,3,23,10,76.9,0,0,0,0,0,0,0,0,13,100,,,,,2.53,1.77
